year,avg_temp
1808,14.91
1809,17.04
1810,17.09
1811,17.12
1812,17.07
1813,17.62
1814,17.68
1815,17.42
1816,16.97
1817,17.15
1818,17.99
1819,17.50
1820,17.67
1821,17.77
1822,17.66
1823,17.96
1824,18.75
1825,18.09
1826,18.01
1827,18.88
1828,18.08
1829,18.05
1830,18.36
1831,17.66
1832,17.08
1833,17.93
1834,17.79
1835,17.33
1836,17.77
1837,17.46
1838,17.26
1839,17.53
1840,17.57
1841,18.05
1842,18.01
1843,17.95
1844,17.81
1845,18.02
1846,18.69
1847,18.22
1848,18.12
1849,18.14
1850,17.56
1851,18.46
1852,18.24
1853,18.75
1854,17.79
1855,18.21
1856,17.71
1857,17.38
1858,18.03
1859,18.20
1860,18.59
1861,17.03
1862,17.00
1863,17.55
1864,18.32
1865,18.66
1866,18.48
1867,18.49
1868,18.02
1869,18.65
1870,18.37
1871,17.60
1872,18.38
1873,18.73
1874,17.92
1875,16.97
1876,18.46
1877,18.87
1878,18.76
1879,19.05
1880,17.82
1881,18.42
1882,17.66
1883,18.15
1884,17.67
1885,18.56
1886,17.89
1887,18.48
1888,18.40
1889,18.59
1890,18.40
1891,18.34
1892,18.60
1893,17.91
1894,17.55
1895,17.99
1896,18.18
1897,17.53
1898,18.11
1899,18.26
1900,18.62
1901,19.08
1902,18.70
1903,17.93
1904,17.92
1905,17.91
1906,18.19
1907,17.52
1908,17.66
1909,18.72
1910,17.81
1911,17.41
1912,18.09
1913,17.65
1914,17.80
1915,18.46
1916,18.68
1917,18.52
1918,18.11
1919,18.44
1920,17.67
1921,17.74
1922,18.64
1923,18.76
1924,18.57
1925,18.52
1926,18.52
1927,18.73
1928,18.94
1929,18.44
1930,18.98
1931,18.68
1932,18.56
1933,18.05
1934,18.69
1935,19.14
1936,18.93
1937,19.13
1938,18.26
1939,18.95
1940,18.79
1941,19.06
1942,18.64
1943,18.26
1944,18.47
1945,18.13
1946,18.75
1947,19.44
1948,18.00
1949,17.70
1950,18.50
1951,18.95
1952,19.06
1953,17.95
1954,18.81
1955,19.35
1956,18.53
1957,18.58
1958,19.04
1959,17.99
1960,19.59
1961,18.41
1962,19.52
1963,19.33
1964,18.05
1965,18.69
1966,19.26
1967,17.80
1968,18.78
1969,19.01
1970,18.88
1971,18.35
1972,18.18
1973,18.52
1974,18.45
1975,18.39
1976,18.24
1977,18.61
1978,18.90
1979,19.33
1980,18.65
1981,18.80
1982,18.12
1983,17.99
1984,18.49
1985,18.99
1986,18.73
1987,18.64
1988,18.77
1989,18.73
1990,18.90
1991,18.83
1992,17.73
1993,18.72
1994,19.34
1995,18.79
1996,19.23
1997,18.55
1998,19.73
1999,19.73
2000,19.09
2001,19.75
2002,19.47
2003,19.30
2004,19.22
2005,19.15
2006,19.07
2007,19.47
2008,19.75
2009,19.60
2010,21.07
2011,18.95
2012,19.72
2013,19.83
