year,avg_temp,city
1808,17.11,Cairo
1809,19.87,Cairo
1810,19.93,Cairo
1811,20.00,Cairo
1812,19.93,Cairo
1813,20.51,Cairo
1814,20.43,Cairo
1815,20.30,Cairo
1816,20.51,Cairo
1817,21.88,Cairo
1818,11.60,Cairo
1819,20.31,Cairo
1820,20.58,Cairo
1821,20.63,Cairo
1822,20.72,Cairo
1823,20.71,Cairo
1824,21.44,Cairo
1825,21.00,Cairo
1826,20.94,Cairo
1827,21.63,Cairo
1828,20.99,Cairo
1829,20.91,Cairo
1830,21.25,Cairo
1831,20.52,Cairo
1832,20.20,Cairo
1833,20.81,Cairo
1834,20.69,Cairo
1835,20.17,Cairo
1836,20.59,Cairo
1837,20.27,Cairo
1838,20.21,Cairo
1839,20.43,Cairo
1840,20.56,Cairo
1841,20.91,Cairo
1842,20.92,Cairo
1843,20.83,Cairo
1844,20.66,Cairo
1845,20.90,Cairo
1846,21.57,Cairo
1847,21.10,Cairo
1848,20.89,Cairo
1849,20.90,Cairo
1850,20.39,Cairo
1851,21.11,Cairo
1852,21.04,Cairo
1853,21.53,Cairo
1854,20.74,Cairo
1855,21.04,Cairo
1856,20.49,Cairo
1857,20.29,Cairo
1858,20.90,Cairo
1859,20.98,Cairo
1860,21.33,Cairo
1861,20.21,Cairo
1862,20.22,Cairo
1863,20.60,Cairo
1864,21.25,Cairo
1865,21.55,Cairo
1866,21.35,Cairo
1867,21.45,Cairo
1868,20.94,Cairo
1869,21.41,Cairo
1870,21.30,Cairo
1871,20.87,Cairo
1872,21.14,Cairo
1873,21.40,Cairo
1874,20.77,Cairo
1875,19.99,Cairo
1876,21.05,Cairo
1877,21.39,Cairo
1878,21.54,Cairo
1879,21.49,Cairo
1880,21.20,Cairo
1881,21.56,Cairo
1882,20.38,Cairo
1883,20.65,Cairo
1884,20.23,Cairo
1885,20.91,Cairo
1886,20.55,Cairo
1887,21.21,Cairo
1888,21.04,Cairo
1889,21.05,Cairo
1890,21.09,Cairo
1891,21.13,Cairo
1892,21.39,Cairo
1893,20.57,Cairo
1894,20.95,Cairo
1895,20.97,Cairo
1896,21.17,Cairo
1897,20.82,Cairo
1898,20.92,Cairo
1899,21.04,Cairo
1900,21.57,Cairo
1901,21.89,Cairo
1902,21.36,Cairo
1903,20.39,Cairo
1904,20.61,Cairo
1905,21.03,Cairo
1906,21.24,Cairo
1907,20.45,Cairo
1908,20.37,Cairo
1909,21.40,Cairo
1910,20.65,Cairo
1911,20.78,Cairo
1912,20.79,Cairo
1913,20.40,Cairo
1914,20.96,Cairo
1915,21.57,Cairo
1916,21.73,Cairo
1917,21.12,Cairo
1918,21.43,Cairo
1919,21.43,Cairo
1920,20.72,Cairo
1921,20.73,Cairo
1922,21.39,Cairo
1923,21.39,Cairo
1924,21.61,Cairo
1925,21.37,Cairo
1926,21.22,Cairo
1927,21.76,Cairo
1928,21.72,Cairo
1929,21.07,Cairo
1930,21.73,Cairo
1931,21.60,Cairo
1932,21.43,Cairo
1933,21.24,Cairo
1934,21.52,Cairo
1935,21.61,Cairo
1936,22.00,Cairo
1937,21.82,Cairo
1938,20.92,Cairo
1939,21.85,Cairo
1940,21.59,Cairo
1941,21.76,Cairo
1942,21.59,Cairo
1943,21.35,Cairo
1944,21.40,Cairo
1945,20.83,Cairo
1946,21.76,Cairo
1947,21.94,Cairo
1948,20.88,Cairo
1949,20.68,Cairo
1950,21.53,Cairo
1951,21.82,Cairo
1952,21.92,Cairo
1953,21.17,Cairo
1954,21.45,Cairo
1955,22.10,Cairo
1956,21.48,Cairo
1957,21.49,Cairo
1958,21.85,Cairo
1959,20.98,Cairo
1960,22.30,Cairo
1961,21.14,Cairo
1962,22.11,Cairo
1963,22.09,Cairo
1964,21.07,Cairo
1965,21.52,Cairo
1966,22.10,Cairo
1967,20.92,Cairo
1968,21.48,Cairo
1969,21.88,Cairo
1970,21.53,Cairo
1971,21.41,Cairo
1972,21.57,Cairo
1973,21.42,Cairo
1974,21.55,Cairo
